Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,FlashDash vs WICKED,FlashDash,WICKED,2,1,FlashDash won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,ShifterPro vs Koudkouto,ShifterPro,Koudkouto,1,0,ShifterPro won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Giants Gaming vs Godalions,Giants Gaming,Godalions,2,0,Giants Gaming won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,notbuiltdif vs monkes,notbuiltdif,monkes,2,0,notbuiltdif won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,DeftFox vs bref,DeftFox,bref,1,2,bref won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Esport Empire vs WakaWaka,Esport Empire,WakaWaka,0,2,WakaWaka won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Baecon GG vs bb kaverit,Baecon GG,bb kaverit,2,1,Baecon GG won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Ingenuity vs YAZDA,Ingenuity,YAZDA,0,2,YAZDA won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Rix.GG Thunder vs driveBy,Rix.GG Thunder,driveBy,2,0,Rix.GG Thunder won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Angry Titans vs NEW LEGENDS GAMING,Angry Titans,NEW LEGENDS GAMING,2,0,Angry Titans won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,AREA vs ORO Esports,AREA,ORO Esports,2,1,AREA won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,MIX2PLOUCS vs ehehxd,MIX2PLOUCS,ehehxd,0,2,ehehxd won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,SPEDS vs Lucky Boys,SPEDS,Lucky Boys,0,2,Lucky Boys won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,404 Multigaming vs Sabre,404 Multigaming,Sabre,2,0,404 Multigaming won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,HEET vs Kolossus Academy,HEET,Kolossus Academy,2,0,HEET won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,eSuba vs Team Deira,eSuba,Team Deira,2,0,eSuba won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,The Future vs Head Hunter's,The Future,Head Hunter's,2,0,The Future won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Les Zinzins De Lespace vs UBITEAM,Les Zinzins De Lespace,UBITEAM,2,0,Les Zinzins De Lespace won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Native 2 Empire vs Full Flashed,Native 2 Empire,Full Flashed,2,1,Native 2 Empire won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,NowyTowiec vs unjobbed,NowyTowiec,unjobbed,0,2,unjobbed won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,BIG vs Illés Akadémia Spirit,BIG,Illés Akadémia Spirit,2,0,BIG won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Celestial Esports vs Balkan Stars,Celestial Esports,Balkan Stars,1,2,Balkan Stars won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Judge Rush vs Project X,Judge Rush,Project X,2,1,Judge Rush won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,FTW Esports vs KILLJOY GAMING,FTW Esports,KILLJOY GAMING,2,0,FTW Esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,NoPracc vs The Goose House Lunar,NoPracc,The Goose House Lunar,2,0,NoPracc won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Alliance vs Somalia,Alliance,Somalia,2,0,Alliance won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,SLAYER vs Amegakure,SLAYER,Amegakure,0,2,Amegakure won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Nexus Gaming vs KPI Gaming,Nexus Gaming,KPI Gaming,0,2,KPI Gaming won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Leftovers vs Scythe of Seraph,Leftovers,Scythe of Seraph,2,0,Leftovers won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Yendez vs Cunning Stunts,Yendez,Cunning Stunts,2,0,Yendez won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,noFEAR vs washedfortniteboomers,noFEAR,washedfortniteboomers,2,0,noFEAR won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,King's Gambit vs Reject$,King's Gambit,Reject$,0,2,Reject$ won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,BLXST vs mode:,BLXST,mode:,2,0,BLXST won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,19esports vs Storm7,19esports,Storm7,2,0,19esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,HeadShotByWig vs SurrealpLay,HeadShotByWig,SurrealpLay,0,2,SurrealpLay won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Prestigious Women vs EGN Esports,Prestigious Women,EGN Esports,0,2,EGN Esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Movistar Riders vs couchless,Movistar Riders,couchless,2,0,Movistar Riders won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,MallunRed vs Prinzen von Stuttgart,MallunRed,Prinzen von Stuttgart,2,0,MallunRed won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Békéscsabai E-sport Egyesület vs Rapture Esports,Békéscsabai E-sport Egyesület,Rapture Esports,2,1,Békéscsabai E-sport Egyesület won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Illuminar Gaming vs Rhyno Esports,Illuminar Gaming,Rhyno Esports,1,2,Rhyno Esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Decend vs Can't Be Touched,Decend,Can't Be Touched,1,2,Can't Be Touched won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,iPon Esport vs GrandSpirit,iPon Esport,GrandSpirit,2,0,iPon Esport won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,rööcivarkaat vs Team Name,rööcivarkaat,Team Name,0,2,Team Name won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Finest vs Winfinity,Finest,Winfinity,2,1,Finest won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,BIG WIN vs John Howard,BIG WIN,John Howard,0,2,John Howard won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Machine Soldiers vs Last Chance,Machine Soldiers,Last Chance,1,2,Last Chance won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,OG vs Spanish Mix,OG,Spanish Mix,2,0,OG won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,15 Kings vs NEBULAA,15 Kings,NEBULAA,1,2,NEBULAA won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,dgen vs The Nyan's,dgen,The Nyan's,0,2,The Nyan's won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,G2 Esports vs La Menace Fantôme,G2 Esports,La Menace Fantôme,2,0,G2 Esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Nth Gaming vs Team Queso,Nth Gaming,Team Queso,0,2,Team Queso won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,EXCEL vs Skelp Esports,EXCEL,Skelp Esports,2,0,EXCEL won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Initiative vs Dame Time,Initiative,Dame Time,2,1,Initiative won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,HIGHFIVE vs UCAM Esports Club,HIGHFIVE,UCAM Esports Club,0,2,UCAM Esports Club won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,LDN UTD vs UFO,LDN UTD,UFO,2,0,LDN UTD won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Amazing vs locust,Amazing,locust,1,2,locust won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Mantis vs PANAIF,Mantis,PANAIF,2,1,Mantis won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Samurais in Business Suits vs Humanity Esport,Samurais in Business Suits,Humanity Esport,1,2,Humanity Esport won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Cream Real Betis vs junummer,Cream Real Betis,junummer,2,1,Cream Real Betis won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,ECM FCG eSports vs Team Plague,ECM FCG eSports,Team Plague,2,0,ECM FCG eSports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,IPL E-SPORT vs MDS Factory,IPL E-SPORT,MDS Factory,0,2,MDS Factory won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,SAW vs iNCREDIBLES,SAW,iNCREDIBLES,2,0,SAW won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,ReviveMeJett vs FARMERS,ReviveMeJett,FARMERS,2,1,ReviveMeJett won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,karmeliet vs PointAndClick,karmeliet,PointAndClick,0,2,PointAndClick won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,IVY vs WiLD MultiGaming,IVY,WiLD MultiGaming,2,0,IVY won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Rave Party vs Precision-Gaming,Rave Party,Precision-Gaming,2,0,Rave Party won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Original Gamers vs Masonic,Original Gamers,Masonic,0,2,Masonic won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,TENSTAR vs Parek v rohliku,TENSTAR,Parek v rohliku,2,0,TENSTAR won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Rugrats vs Aesir Esports,Rugrats,Aesir Esports,2,0,Rugrats won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,SICKTHICK vs Sentry Esports,SICKTHICK,Sentry Esports,2,0,SICKTHICK won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Need4Food vs Sissi State Punks,Need4Food,Sissi State Punks,2,0,Need4Food won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,need girlfriend vs FOXA NSV,need girlfriend,FOXA NSV,2,1,need girlfriend won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,miks vs The Goose House,miks,The Goose House,2,1,miks won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 256,Edelweiss Esports vs MSP,Edelweiss Esports,MSP,2,0,Edelweiss Esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Yendez vs noFEAR,Yendez,noFEAR,2,0,Yendez won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Team Heretics vs MTP Esport,Team Heretics,MTP Esport,2,0,Team Heretics won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,FTW Esports vs The Paw Brothers,FTW Esports,The Paw Brothers,1,2,The Paw Brothers won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,OG vs Vieux Touristes,OG,Vieux Touristes,2,0,OG won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,G2 Esports vs Grow uP eSports,G2 Esports,Grow uP eSports,2,0,G2 Esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,SAW vs TEMPO,SAW,TEMPO,2,0,SAW won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,BK ROG Esports vs Team Collusion,BK ROG Esports,Team Collusion,2,0,BK ROG Esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,ShadowzGG vs Vacuumers,ShadowzGG,Vacuumers,0,2,Vacuumers won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,WLGaming Esports vs Voltex,WLGaming Esports,Voltex,2,0,WLGaming Esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Megastitut vs Fratres,Megastitut,Fratres,2,0,Megastitut won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Bonsoir vs HasbullahPeek,Bonsoir,HasbullahPeek,2,1,Bonsoir won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Team Sampi vs Vertical Seven Esports,Team Sampi,Vertical Seven Esports,2,0,Team Sampi won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,VAMOS vs Exalty,VAMOS,Exalty,2,1,VAMOS won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Wave Esports vs Playing Aliens,Wave Esports,Playing Aliens,2,0,Wave Esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Asteria Gaming vs Pulsar Esport,Asteria Gaming,Pulsar Esport,2,0,Asteria Gaming won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,STAGA vs EXEN Esports,STAGA,EXEN Esports,2,0,STAGA won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,CGN Esports vs ooliganz,CGN Esports,ooliganz,2,0,CGN Esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Lasagna Beam vs 5 baguettes,Lasagna Beam,5 baguettes,2,0,Lasagna Beam won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Average Joes vs UnderDogs Gaming,Average Joes,UnderDogs Gaming,2,0,Average Joes won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Edelweiss Esports vs Jammers,Edelweiss Esports,Jammers,2,0,Edelweiss Esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,FlashDash vs ShifterPro,FlashDash,ShifterPro,2,1,FlashDash won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Giants Gaming vs Duck Gaming,Giants Gaming,Duck Gaming,2,1,Giants Gaming won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,notbuiltdif vs Totally Spies,notbuiltdif,Totally Spies,2,0,notbuiltdif won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,bref vs WakaWaka,bref,WakaWaka,2,0,bref won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Baecon GG vs YAZDA,Baecon GG,YAZDA,0,2,YAZDA won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Rix.GG Thunder vs Angry Titans,Rix.GG Thunder,Angry Titans,2,0,Rix.GG Thunder won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,dATHITANS  vs Souldazz,dATHITANS ,Souldazz,0,2,Souldazz won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,AREA vs ehehxd,AREA,ehehxd,0,2,ehehxd won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Lucky Boys vs 404 Multigaming,Lucky Boys,404 Multigaming,2,0,Lucky Boys won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,HEET vs eSuba,HEET,eSuba,2,0,HEET won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,The Future vs Les Zinzins De Lespace,The Future,Les Zinzins De Lespace,1,2,Les Zinzins De Lespace won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,M4LIK vs Native 2 Empire,M4LIK,Native 2 Empire,2,0,M4LIK won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,unjobbed vs Shield Esport,unjobbed,Shield Esport,2,0,unjobbed won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,BIG vs UnderDogs,BIG,UnderDogs,2,1,BIG won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Balkan Stars vs Judge Rush,Balkan Stars,Judge Rush,2,1,Balkan Stars won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,NoPracc vs Ovation eSports,NoPracc,Ovation eSports,0,2,Ovation eSports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Alliance vs Amegakure,Alliance,Amegakure,2,0,Alliance won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,KPI Gaming vs Leftovers,KPI Gaming,Leftovers,0,2,Leftovers won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Reject$ vs BLXST,Reject$,BLXST,2,0,Reject$ won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,19esports vs SurrealpLay,19esports,SurrealpLay,2,0,19esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Movistar Riders vs MallunRed,Movistar Riders,MallunRed,2,1,Movistar Riders won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Békéscsabai E-sport Egyesület vs Follow My Drone,Békéscsabai E-sport Egyesület,Follow My Drone,2,0,Békéscsabai E-sport Egyesület won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Rhyno Esports vs Team Galaga,Rhyno Esports,Team Galaga,2,0,Rhyno Esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Luulot pois vs Can't Be Touched,Luulot pois,Can't Be Touched,0,2,Can't Be Touched won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,iPon Esport vs FLEER,iPon Esport,FLEER,2,0,iPon Esport won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Finest vs John Howard,Finest,John Howard,2,0,Finest won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,PACT vs Last Chance,PACT,Last Chance,2,0,PACT won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,NEBULAA vs The Nyan's,NEBULAA,The Nyan's,2,0,NEBULAA won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Team Queso vs NoPoaching,Team Queso,NoPoaching,1,2,NoPoaching won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,EXCEL vs Macko Esports,EXCEL,Macko Esports,2,0,EXCEL won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Initiative vs UCAM Esports Club,Initiative,UCAM Esports Club,0,2,UCAM Esports Club won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,LDN UTD vs locust,LDN UTD,locust,2,0,LDN UTD won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Mantis vs Humanity Esport,Mantis,Humanity Esport,2,0,Mantis won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Cream Real Betis vs ECM FCG eSports,Cream Real Betis,ECM FCG eSports,2,0,Cream Real Betis won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,MDS Factory vs ownage,MDS Factory,ownage,0,2,ownage won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,ReviveMeJett vs PointAndClick,ReviveMeJett,PointAndClick,2,1,ReviveMeJett won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,IVY vs Rave Party,IVY,Rave Party,2,0,IVY won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Deviance vs Masonic,Deviance,Masonic,1,2,Masonic won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,TENSTAR vs GOODGAME,TENSTAR,GOODGAME,2,0,TENSTAR won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Rugrats vs SICKTHICK,Rugrats,SICKTHICK,2,0,Rugrats won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 128,Need4Food vs need girlfriend,Need4Food,need girlfriend,1,2,need girlfriend won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,Team Heretics vs BK ROG Esports,Team Heretics,BK ROG Esports,0,2,BK ROG Esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,STAGA vs CGN Esports,STAGA,CGN Esports,1,2,CGN Esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,ehehxd vs Lucky Boys,ehehxd,Lucky Boys,1,2,Lucky Boys won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,M4LIK vs unjobbed,M4LIK,unjobbed,2,1,M4LIK won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,SAW vs ReviveMeJett,SAW,ReviveMeJett,2,0,SAW won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,Vacuumers vs WLGaming Esports,Vacuumers,WLGaming Esports,2,1,Vacuumers won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,Megastitut vs Bonsoir,Megastitut,Bonsoir,2,0,Megastitut won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,Team Sampi vs VAMOS,Team Sampi,VAMOS,2,0,Team Sampi won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,Wave Esports vs Asteria Gaming,Wave Esports,Asteria Gaming,2,0,Wave Esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,Lasagna Beam vs Average Joes,Lasagna Beam,Average Joes,0,2,Average Joes won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,Edelweiss Esports vs FlashDash,Edelweiss Esports,FlashDash,2,1,Edelweiss Esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,Giants Gaming vs notbuiltdif,Giants Gaming,notbuiltdif,2,0,Giants Gaming won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,bref vs YAZDA,bref,YAZDA,2,1,bref won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,Rix.GG Thunder vs Souldazz,Rix.GG Thunder,Souldazz,2,0,Rix.GG Thunder won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,HEET vs Les Zinzins De Lespace,HEET,Les Zinzins De Lespace,2,1,HEET won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,BIG vs Balkan Stars,BIG,Balkan Stars,2,0,BIG won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,The Paw Brothers vs Ovation eSports,The Paw Brothers,Ovation eSports,0,2,Ovation eSports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,Alliance vs Leftovers,Alliance,Leftovers,2,1,Alliance won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,Yendez vs Reject$,Yendez,Reject$,1,2,Reject$ won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,19esports vs Dark Tigers,19esports,Dark Tigers,2,1,19esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,Movistar Riders vs Békéscsabai E-sport Egyesület,Movistar Riders,Békéscsabai E-sport Egyesület,2,0,Movistar Riders won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,Rhyno Esports vs Can't Be Touched,Rhyno Esports,Can't Be Touched,0,2,Can't Be Touched won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,iPon Esport vs Team Name,iPon Esport,Team Name,2,0,iPon Esport won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,Finest vs PACT,Finest,PACT,2,1,Finest won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,OG vs NEBULAA,OG,NEBULAA,2,0,OG won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,G2 Esports vs NoPoaching,G2 Esports,NoPoaching,2,0,G2 Esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,EXCEL vs UCAM Esports Club,EXCEL,UCAM Esports Club,1,2,UCAM Esports Club won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,LDN UTD vs Mantis,LDN UTD,Mantis,2,0,LDN UTD won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,Cream Real Betis vs ownage,Cream Real Betis,ownage,2,1,Cream Real Betis won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,IVY vs Masonic,IVY,Masonic,2,0,IVY won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,TENSTAR vs Rugrats,TENSTAR,Rugrats,2,0,TENSTAR won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 64,need girlfriend vs miks,need girlfriend,miks,2,1,need girlfriend won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 32,Megastitut vs Team Sampi,Megastitut,Team Sampi,1,2,Team Sampi won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 32,Wave Esports vs CGN Esports,Wave Esports,CGN Esports,2,0,Wave Esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 32,Rix.GG Thunder vs Lucky Boys,Rix.GG Thunder,Lucky Boys,2,0,Rix.GG Thunder won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 32,HEET vs M4LIK,HEET,M4LIK,1,2,M4LIK won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 32,SAW vs IVY,SAW,IVY,0,2,IVY won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 32,BK ROG Esports vs Vacuumers,BK ROG Esports,Vacuumers,2,1,BK ROG Esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 32,Giants Gaming vs bref,Giants Gaming,bref,2,1,Giants Gaming won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 32,BIG vs Ovation eSports,BIG,Ovation eSports,2,0,BIG won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 32,Alliance vs Reject$,Alliance,Reject$,2,1,Alliance won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 32,19esports vs Movistar Riders,19esports,Movistar Riders,2,1,19esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 32,Can't Be Touched vs iPon Esport,Can't Be Touched,iPon Esport,2,0,Can't Be Touched won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 32,Finest vs OG,Finest,OG,2,1,Finest won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 32,G2 Esports vs UCAM Esports Club,G2 Esports,UCAM Esports Club,2,0,G2 Esports won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 32,LDN UTD vs Cream Real Betis,LDN UTD,Cream Real Betis,0,2,Cream Real Betis won
Champions Tour Europe Stage 3: Challengers 1,Open Qualifier,Round of 32,TENSTAR vs need girlfriend,TENSTAR,need girlfriend,2,0,TENSTAR won
